Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Seattle Neighborhood Group,Community Center,,47.601849,-122.308388,1810 E. Yesler Way Seattle WA 98122
Photo-tronics, Inc.,Service/Supply,,47.623726,-122.342773,513 Dexter Ave. N. Seattle WA 98109
The Audio Connection,Service/Supply,,47.669975,-122.313045,5621A University Way Northeast Seattle WA 98105
Danse Perdue's Psychomachia Theater,Multi-use,N,47.5719192,-122.3342902,1534 1st Ave S Seattle WA 98134
Stonington Gallery,,,47.598918,-122.333159,125 S Jackson St
The Hyogo Business and Cultural Center,Arts/Cultural Administration or Advocacy,,47.606213,-122.333794,1001 4th Ave Suite 2330 Seattle WA 98154
Jefferson Community Center,Community Center,,47.569634,-122.307473,3801 Beacon Ave S Seattle WA 98108
Earwig Studio,Studios,,47.553658,-122.335594,74 S Lucile St Seattle WA 98134
Impact Hub Seattle,Live/Work,Y,47.6007271,-122.3313269,220 2nd Ave S Seattle WA 98104
Paragon,Music,,47.6378686,-122.3571792,2125 Queen Anne Ave N Seattle WA 98109
Bitter Lake Community Center,Community Center,,47.72447,-122.348,13035 Linden Ave N Seattle WA 98133
Shunpike,Arts/Cultural Administration or Advocacy,,47.59507,-122.327179,815 Seattle Blvd S, Seattle, WA  98134
The Collaboratory,Multi-use,,47.551707,-122.277981,5623 Rainier Ave S Seattle WA 98118
Haller Lake United Methodist Church,Music,N,47.72465145,-122.3293843,13055 1st Ave NE Seattle WA 98125
Urban Light Studios,Studios,N,47.691631,-122.355713,8537 Greenwood Ave N Seattle WA 98103
St Rigsby and His Amazing Silhouettes,Performance,N,,,
The Seattle Times,Service/Supply,,47.619053,-122.336395,1000 Denny Way Seattle WA 98109
Sunshine from Polynesia,Performance,N,47.66209,-122.39917,4524 33rd Avenue W Seattle WA 98199
Georgetown Atelier,Arts/Cultural Training or Education,,47.551817,-122.319454,5628 Airport way S #330 Seattle WA 98108
First Free Methodist,Multi-use,,47.649357,-122.360626,3200 3rd Ave West Seattle WA 98119
University of Washington 3D4M School of Art, Ceramic Metal Arts Building,Visual,N,47.6598273,-122.2922528,4205 Mary Gates Memorial Dr NE Seattle WA 98105
Historic Seattle Dearborn House,Heritage,,47.610874,-122.32547,1117 Minor Ave Seattle WA 98101
All That Dance,Performance,N,47.691212,-122.354279,320 N 85th St Seattle WA 98103
